4.6,3.6,1,.2,"Setosa"
5.4,3.9,1.7,.4,"Setosa"
5.8,2.7,4.1,1,"Versicolor"
6.3,2.8,5.1,1.5,"Virginica"
5.1,3.5,1.4,.3,"Setosa"
5.5,3.5,1.3,.2,"Setosa"
4.7,3.2,1.3,.2,"Setosa"
6.7,3,5.2,2.3,"Virginica"
6.2,2.9,4.3,1.3,"Versicolor"
6.9,3.1,5.1,2.3,"Virginica"
7.2,3.6,6.1,2.5,"Virginica"
5.8,2.7,5.1,1.9,"Virginica"
5,3.4,1.5,.2,"Setosa"
5.1,3.7,1.5,.4,"Setosa"
6,2.2,4,1,"Versicolor"
6.3,3.3,6,2.5,"Virginica"
5.1,2.5,3,1.1,"Versicolor"
5.7,3,4.2,1.2,"Versicolor"
5.5,2.4,3.8,1.1,"Versicolor"
6.7,3.3,5.7,2.5,"Virginica"
4.8,3.4,1.6,.2,"Setosa"
6.1,3,4.6,1.4,"Versicolor"
